Agency	value	key	Sector	Country	Province	Adm3	Latitude	Longitude	geo	Outcome	Output	"Indicator
(e.g. ""# of liters of water delivered"")"	Target	Revised Target	Interim	Interim%	To Date	To Date%	Final	Final%	Original Comments	Additional Comments
CRS	17	16	Nutrition	Greece	"Attica, Greece"		37.59134	23.43379	"37.59134,23.43379"	Refugees & migrants are able to access basic services at service hubs		# of meals delivered to refugees & migrants	"35,750"		2596	7%	2596	7%		0%		17448 meals served in total/2596 funded by START
CRS	18	17	WASH	Greece	"Attica, Greece"		37.59135	23.43379	"37.59135,23.43379"	Refugees & migrants are able to access basic services at service hubs		# of showers provided to refugees & migrants	"4,550"		1740	38%	1740	38%		0%		
CRS	19	18	Protection	Greece	"Attica, Greece"		37.59131	23.4338	"37.59131,23.4338"	Refugees & migrants are able to access basic services at service hubs		# of children accessing safe play areas	"1,300"		793	61%	793	61%		0%		
CRS	20	19	FSL	Greece	"Attica, Greece"		37.59131	23.43381	"37.59131,23.43381"	Extremely vulnerable refugees & migrants use cash-based assistance to meet priority unmet needs with dignity.		# of extremely vulnerable refugees & migrants receiving cash transfers	"2,400"		0	0%	0	0%		0%		Activity will start in June
CRS	21	20	Other	Greece	"Attica, Greece"		37.59131	23.43382	"37.59131,23.43382"	Extremely vulnerable refugees & migrants use cash-based assistance to meet priority unmet needs with dignity.		Dollar amount of cash transfers disbursed to extremely vulnerable refugees & migrants	"$540,111"		0	0%	0	0%		0%		Activity will start in June
CRS	22	21	Other	Greece	"Attica, Greece"		37.59131	23.43383	"37.59131,23.43383"	Extremely vulnerable refugees & migrants use cash-based assistance to meet priority unmet needs with dignity.		% of extremely vulnerable refugees & migrants expressing satisfaction with cash transfers	100%		0	0%	0	0%		0%		Activity will start in June
CRS	23	22	Protection	Greece	"Attica, Greece"		37.59131	23.43384	"37.59131,23.43384"	"Refugees & miigrants access accurate information, counseling, and resources regarding legal and safe migration options and available services."		# of refugees & migrants provided with information services	"3,000"		1250	42%	1250	42%		0%		
CRS	24	23	Protection	Greece	"Attica, Greece"		37.59131	23.43385	"37.59131,23.43385"	"Refugees & miigrants access accurate information, counseling, and resources regarding legal and safe migration options and available services."		# of refugees & migrants receiving psychosocial support services	"1,500"		1160	77%	1160	77%		0%		# of refugees and migrants meeting with a social worker at one of the two hubs
CRS	25	24	Protection	Greece	"Attica, Greece"		37.59131	23.43386	"37.59131,23.43386"	"Refugees & miigrants access accurate information, counseling, and resources regarding legal and safe migration options and available services."		# of successful referrals made to outside service providers for refugees & migrants	"1,500"		936	62%	936	62%		0%		# of total referrals made
DRC	26	25	WASH	Greece	"Attica, Greece"		37.8998	23.7263	"37.8998,23.7263"	"By July 2016, increased accessibility to adequate WASH facilities in Elliniko and/or Lagadikia sites"		"# of WASH facilities improved, repaired and maintained"	30		12	40%	12	40%		0%		
DRC	27	26	Shelter	Greece	"Attica, Greece"		37.8999	23.7263	"37.8999,23.7263"	"By July 2016, improved accommodation /communal facilities for people of concern"		# of people benefitting from improved mantained accommodation/common facilities	3000		1400	47%	1400	47%		0%		
DRC	28	27	Camp Management	Greece	"Attica, Greece"		37.8998	23.7264	"37.8998,23.7264"	"By May 2016, improved site management support to the MoMP by introduction of camp management and coordination tools and improved infrastructure and maintenance of Elliniko and Lagadikia sites"		# of sites in which Camp Management interventions have been conducted	4		1	25%	1	25%		0%		
DRC	29	28	Protection	Greece	"Attica, Greece"		37.8998	23.7265	"37.8998,23.7265"	A protective environment in which the dignity and human rights of persons in need of international protection are fostered and maintained.		"# of people reached through protection monitoring, legal support, and interventions"	4500		3900	87%	3900	87%		0%	"Population at Moria hotspot remains trasitory to a degree. To avoid double-counting, DRC assumes the population at Moria hotspot at 2,500"	
DRC	30	29	Protection	Greece	"Lesvos, Greece"		39.130354	26.530764	"39.130354,26.530764"	A protective environment in which the dignity and human rights of persons in need of international protection are fostered and maintained.		"# of people reached through protection monitoring, legal support, and interventions"	4500		3900	87%	3900	87%		0%	"Population at Moria hotspot remains trasitory to a degree. To avoid double-counting, DRC assumes the population at Moria hotspot at 2,500"	
DRC	31	30	FSL	Greece	"Attica, Greece"		37.8998	23.7267	"37.8998,23.7267"	"Hosted population in Elliniko sites benefits from nutritional and culturally appropriate feeding, through provision of 3 ready to eat meals per day"		# of people receiving 3 ready-to-eat meals per day	3000		1500	50%	1500	50%		0%		
DRC	32	31	Shelter	Greece	"Central Macedonia, Greece"		40.6212	23.1918	"40.6212,23.1918"	By July 2016 backpacks are distributed to beneficiaries in Elleniko and Lagadikia sites		# of people receiving summer NFi kits according to distribution criteria in Elleniko and Lagadikia sites	3000		0	0%	0	0%		0%		"Backpacks have been removed from the NFIs list, which now features summer items identified with the beneficiaries in Elleniko. Distribution will start end of June 2016."
DRC	33	32	Shelter	Greece	"Attica, Greece"		37.9001	23.7263	"37.9001,23.7263"	By July 2016 backpacks are distributed to beneficiaries in Elleniko and Lagadikia sites		# of people receiving summer NFi kits according to distribution criteria in Elleniko and Lagadikia sites	3000		0	0%	0	0%		0%		"Backpacks have been removed from the NFIs list, which now features summer items identified with the beneficiaries in Elleniko. Distribution will start end of June 2016."
Internews	34	33	Comms	Greece	"Attica, Greece"		37.9839	23.7294	"37.9839,23.7294"	Increased offline communication materials disseminated		# of offline materials produced	3000		2680	89%	2680	89%		0%	"Number of items, including print from website updates"	
Internews	35	34	Comms	Greece	"Attica, Greece"		37.984	23.7294	"37.984,23.7294"	Increased number of humanitarian organisations engaged in project activities		# of humanitarian agencies engaged	30		19	63%	19	63%		0%	"Incorporates agencies collaborating on production,dissemination, feedback; activity design; and coordination mechanisms"	
Internews	36	35	Comms	Greece	"Attica, Greece"		37.9841	23.7294	"37.9841,23.7294"	Increased offline feedback materials produced		# of feedback materials	1000		927	93%	927	93%		0%	"Number of items, not number of issues"	
Internews	37	36	Comms	Greece	"Attica, Greece"		37.9842	23.7294	"37.9842,23.7294"	Communication needs assessments		# of needs assessments	4		0	0%	0	0%		0%	"Includes either stand-alone assessments, or collaborative multi-sector needs assessments with communication needs questions incorporated"	None planned for this reporting period
Internews	38	37	Comms	Greece	"Attica, Greece"		37.9843	23.7294	"37.9843,23.7294"	NewsThatMoves online updates		# of updates	1500		915	61%	915	61%		0%	Measured by individual post	Includes NTM and Facebook
Internews	39	38	Comms	Greece	"Attica, Greece"		37.9844	23.7294	"37.9844,23.7294"	Increased online feedback received		# of feedback contributions received	3000		5117	171%	5117	171%		0%	Includes Facebook post engagement and questions sent to the website	
Internews	40	39	Comms	Greece	"Attica, Greece"		37.9845	23.7294	"37.9845,23.7294"	Feedback data analysis reports produced		# of reports produced	10		6	60%	6	60%		0%	"Weekly, starting after two weeks, for use by humanitarian agencies"	Internal reports
Samaritan's Purse	41	40	FSL	Greece	"Kilkis, Greece"		40.9937	22.8754	"40.9937,22.8754"	Target vulnerable migrant populations in Idomeni and Polycastro enjoy sufficient quality food up to 16th June 2016		# of meals provided to target vulnerable population	"756,000"		"489,313"	65%	"489,313"	65%		0%	beneficiary disaggregation by age and gender is estimated and based on observed ratios within existing populations	The recent decision by the Greek Government to close down Idomeni camp will require SP and START to quickly adapt and work together to identify urgent needs of the refugees that are being relocated to the new sites into camps in Oraiokastro and Thessaloniki.
Translators Without Borders	42	41	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	"Rapidly changing content is translated into Arabic, Farsi, Urdu and Kurdish"		"# of words translated of rapidly changing content into Arabic, Farsi, Urdu and Kurdish"	"60,000"		"54,000"	90%	"54,000"	90%		0%		
Translators Without Borders	43	42	Protection	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	"Protection information is translated into Arabic, Farsi, Kurdish and Urdu"		"# of words translated of protection information into Arabic, Farsi, Kurdish and Urdu"	"40,000"		"2,806"	7%	"2,806"	7%		0%		
Translators Without Borders	44	43	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	"Asylum information is translated into Arabic, Farsi , Urdu and Kurdish"		"# of words translated of asylum information into Arabic, Farsi , Urdu and Kurdish"	"40,000"		"4,022"	10%	"4,022"	10%		0%		
Translators Without Borders	45	44	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	"All types of content in Arabic, Farsi, Urdu and Kurdish are disseminated to most important sites and locations"		"# of pieces of content disseminated in Arabic, Farsi, Urdu and Kurdish to most important sites and locations"	60		8	13%	8	13%		0%		
Translators Without Borders	46	45	Other	Non-country specific	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	More Kurdish and Urdu RRT members are recruited and trained		# of new Kurdish and Urdu RRT members	20		5	25%	5	25%		0%		
Translators Without Borders	47	46	Other	Non-country specific	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	A group of RRT translators is trained in protection-focused humanitarian topics		# of RRT members trained in protection-focused humanitarian topics	20		0	0%	0	0%		0%		In development
Translators Without Borders	48	47	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	Aid organizations partner with TWB to coordinate dissemination of local language content (all types of content)		# of aid organizations partnering with TWB to coordinate dissemination of local language content (all types of content)	15		10	67%	10	67%		0%		
Translators Without Borders	49	48	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	Aid workers benefit from TWB's linguistic support		# of aid workers TWB assists by providing linguistic support	70		30	43%	30	43%		0%		
Translators Without Borders	50	49	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	Partner agencies adopt text-to-speech translation tools for improved communication with the affected populations		# of partner agencies using text-to-speech translation tools	5		0	0%	0	0%		0%		In development
Translators Without Borders	51	50	Other	Non-country specific	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	Partner agancies adopt Google Translation Cards for improved communciations with affected populations		# of partner agancies using Google Translation Cards	5		1	20%	1	20%		0%		Initial testing of the beta version
Translators Without Borders	52	51	Other	Non-country specific	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	RRT translators use translation technology tools (including audio) for improved translation quality		# of RRT translators using improved translation technology tools	40		0	0%	0	0%		0%		Currently purchasing audio software licences
Translators Without Borders	53	52	Other	Greece	"Attica, Greece"	Athens	37.97945	23.71622	"37.97945,23.71622"	"A ""translator and interpretor working group"" is established and meets regularly by mid-April"		# of partner agency staff and volunteers actively participating in the working group	40		12	30%	12	30%		0%		"Number of participants in the first meeting on Friday, May 27"
Translators Without Borders	54	53	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	A roster of interpreters rand translators ready to be deployed on the ground is developed and used by partners by early May		"# of I Arabic, Farsi, Urdu and Kurdish interpreters on the roster"	20		4	20%	4	20%		0%		
Translators Without Borders	55	54	Other	Non-country specific	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	Information gaps in local media are identified and shared with relevent partners		# of local media outlets monitored	10		0	0%	0	0%		0%		In development
Translators Without Borders	56	55	Other	Greece	"Attica, Greece"		37.97945	23.71622	"37.97945,23.71622"	Information gaps and critical needs on the ground are identified and shared with relevent partners		# of roving translators deployed	6		0	0%	0	0%		0%		"We will have 2 roving translators at a time in 3 different periods, first one in early June"
Oxfam	57	56	Protection	Serbia	"Presevo, Serbia"		42.30878	21.650346	"42.30878,21.650346"	"By the 30th June 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"		# of persons to which psychosocial support and infromation is provided	1500		687	46%	687	46%		0%		"3 Outreach teams, composed by 6 people in South and 5 in the North and 4 in Belgrade (including protection officer, cultural mediators and translators) will provide refugees and migrants, with critical information including asylum seekers' rights, services and support available to refugees. Outreach temas will operate 16 hours per day (2 shifts in each location ), 5 day per week. 
Mobile teams will also monitor the border to assess numbers of irregular arrivals and monitor the behavior of authorities, reception and treatment of migrants, access to asylum procedure and care provision to asylum claimants. 
Outreach tems will make around 50 new contact per day, per 5 deys per week, per 6 weeks"
Oxfam	58	57	Protection	Serbia	"Horgos, Serbia"		46.148605	19.953513	"46.148605,19.953513"	"By the 30th June 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"		# of persons to which psychosocial support and infromation is provided	1500		687	46%	687	46%		0%		
Oxfam	59	58	Protection	Serbia	"Belgrade, Serbia"		44.786568	20.448922	"44.786568,20.448922"	"By the 30th June 2016
psychosocial support and essential information will be provided to at least 1500 refugees and migrants to improve their safety and security in Serbia"		# of persons to which psychosocial support and infromation is provided	1500		687	46%	687	46%		0%		
Oxfam	60	59	Protection	Serbia	"Presevo, Serbia"		42.30878	21.650346	"42.30878,21.650346"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"		# of completed assessments of refugee support needs	150		386	257%	386	257%		0%		"While mainstreaming GBV, anti-trafficking and other protection massages, outreach team will also provide psychosocial support, make referrals to competent institutions and conduct case management"
Oxfam	61	60	Protection	Serbia	"Horgos, Serbia"		46.148605	19.953513	"46.148605,19.953513"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"		# of completed assessments of refugee support needs	150		386	257%	386	257%		0%		
Oxfam	62	61	Protection	Serbia	"Belgrade, Serbia"		44.786568	20.448922	"44.786568,20.448922"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"		# of completed assessments of refugee support needs	150		386	257%	386	257%		0%		
Oxfam	63	62	Protection	Macedonia	"Tabanovce, Macedonia"		42.213023	21.710788	"42.213023,21.710788"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"		# of completed assessments of refugee support needs	150		386	257%	386	257%		0%		
Oxfam	64	63	Protection	Macedonia	"Gevgelia, Macedonia"		41.145189	22.499747	"41.145189,22.499747"	"By the 30th June 2016 
referral and case management will be provided to at least 150 refugees and migrants in Serbia"		# of completed assessments of refugee support needs	150		386	257%	386	257%		0%		
Oxfam	65	64	Shelter	Serbia	"Belgrade, Serbia"		44.786568	20.448922	"44.786568,20.448922"	"By the 15th May 2016 
a specifc safe shelters for male and female survivors of trafficking, abuse and trauma will be established in Belgrade"		# of men and women who are referred to the shelther	12		17	142%	17	142%		0%		"2 new shelters, one for men and one for women will be established in Belgrade. The activity will complement the existing shelter capacities managed by Atina in Belgrade and allow for separate women and men’s shelters"
Oxfam	66	65	Protection	Serbia	"Krnjaca, Serbia"		44.843431	20.5215590	"44.843431,20.521559"	"By the 30th June 2016
at least 18 workshops will be held for refugees and migrants to build skills and knowlegde and increase personal resilience"		# of workshop conducted	18		2	11%	2	11%		0%		"Atina’s mobile team will organize empowerment and creative workshops and programmes for women and girls, 3 times per week in the temporary centres for refugees (language, culture, handcraft making). The aims of the craft making workshops will be to empower women and girls and to sensitize the local communities by presenting with the workshops final products. 10 to 15 migrant women and girls will be present on every workshop."
Oxfam	67	66	Protection	Serbia	"Presevo, Serbia"		42.30878	21.650346	"42.30878,21.650346"	"By the 30th June 2016
at least 18 workshops will be held for refugees and migrants to build skills and knowlegde and increase personal resilience"		# of workshop conducted	18		2	11%	2	11%		0%		
Oxfam	68	67	Social Mobalisation	Serbia	"Belgrade, Serbia"		44.786568	20.448922	"44.786568,20.448922"	"By the 30th June 2016
advocacy materials will be produced that will sensitize local population, public rapresentatives and international audience about condition of the migrants, violation of Human rights, and give voice to the migrants"		# of advocacy materials produced	2		0	0%	0	0%		0%		"Activity aims at production of 2 advocacy materials (multimedia content) that will sensitize local population, public rapresentatives and international audience about condition of the migrants, violation of Human rights, and give voice to the migrants"
Oxfam	69	68	Protection	Macedonia	"Tabanovce, Macedonia"		42.213023	21.710788	"42.213023,21.710788"	"By the 30th June 2016 
protection outreach activities, including legal assistance and psychosocial support, will benefit at least 400 refugees and migrants in Macedonia"		# of people provided with legal assistance and psychosocial support	400		214	54%	214	54%		0%		"Outreach teams, including lawyers, social workers, cultural mediators and translators will provide refugees and migrants with critical information including on rights as asylum seekers, options for claiming asylum, legal representation and services and support available to refugees. They will also provide psychosocial support, make referrals to competent institutions and conduct case management. This activities will mostly take place in Tabanovce RC and is a continuation of outreach activities conducted under the first DFID project and if necessary on other location where refugees and migrants are residing. The activity will provide repeat support to refugees and migrants residing at the Tabanovce PC. Over the course of 1.5 months it is assumed that at least half of the total population (800) in Tabanovce will benefit from either legal assistance or psychosocial support."
Oxfam	70	69	Protection	Macedonia	"Gevgelia, Macedonia"		41.145189	22.499747	"41.145189,22.499747"	"By the 30th June 2016 
protection outreach activities, including legal assistance and psychosocial support, will benefit at least 400 refugees and migrants in Macedonia"		# of people provided with legal assistance and psychosocial support	400		214	54%	214	54%		0%		
Oxfam	71	70	Protection	Macedonia	"Tabanovce, Macedonia"		42.213023	21.710788	"42.213023,21.710788"	"By the 15th May 2016 
regular and ongoing monitoring of the Greek-Macedonian and Serbian-Macedonian borders will be conducted to record refugee push backs and irregular migration flows"		# of border monitoring reports completed	25		8	32%	8	32%		0%		"Mobile teams will monitor the border to assess numbers of irregular arrivals and monitor the behaviour of authorities, reception and treatment of migrants, access to asylum procedure and care provision to asylum claimants. This activity combines the 25 monitoring visits conducted to the 25 villages along the Macedonian and Greek border. Each monitoring visit conducted will cover 3-4 villages at a time, covering in total 25 different villages. Mobile teams will also provide protection outreach and referal support to refugees and migrants contact through border monitoring activities- The number of migrants who will benefit from a safer environment created through these monitoring activities is an estimation calculated according to local existing statistics on irregula cross-border migration."
Oxfam	72	71	Protection	Macedonia	"Gevgelia, Macedonia"		41.145189	22.499747	"41.145189,22.499747"	"By the 15th May 2016 
regular and ongoing monitoring of the Greek-Macedonian and Serbian-Macedonian borders will be conducted to record refugee push backs and irregular migration flows"		# of border monitoring reports completed	25		8	32%	8	32%		0%		
Oxfam	73	72	Social Mobalisation	Macedonia	"Gevgelia, Macedonia"		41.145189	22.499747	"41.145189,22.499747"	"By the 30th June 2016 
at least 20 community sensitisation meetings will be conducted in villages along the Macedonian Greek border to improve understanding of refugee issues"		# of community sensitisation meetings conducted	20		34	170%	34	170%		0%		"MYLA will develop and conduct a sensitisation and awareness raising campaign for the local population of the “most affected areas” in order to inform them about refugees, migration and existing services for refugees. 
The activiti is aimed to reduce stigma of refugees and support monitoring and information sharing and to make local population a partner"
Oxfam	74	73	Protection	Macedonia	"Tabanovce, Macedonia"		42.213023	21.710788	"42.213023,21.710788"	"By the 31st May 2016 
cross border referal processes and procedures have been agreed and established between MYLA and ATINA"		# of established referral processes between MYLA and ATINA	1		1	100%	1	100%		0%		"Building on activities already completed in the first DFID project Oxfam will support the further development of a system for information sharing and referral between Serbia and Macedonia, including the establishment of processes and procedures for referring specific refugee/migrant cases between the two countries"
